phone,id,fol,prev,word,start,end,file_name
e,0-0-8-1,#,ʃ,y,2.27,2.31,habitanteysuesperanza_01_neruda_128kb_00
s,0-0-9-0,u,#,su,2.31,2.43,habitanteysuesperanza_01_neruda_128kb_00
u,0-0-9-1,#,s,su,2.43,2.46,habitanteysuesperanza_01_neruda_128kb_00
e,0-0-10-0,s,#,esperanza,2.46,2.49,habitanteysuesperanza_01_neruda_128kb_00
s,0-0-10-1,p,e,esperanza,2.49,2.54,habitanteysuesperanza_01_neruda_128kb_00
p,0-0-10-2,e,s,esperanza,2.54,2.61,habitanteysuesperanza_01_neruda_128kb_00
e,0-0-10-3,ɾ,p,esperanza,2.61,2.65,habitanteysuesperanza_01_neruda_128kb_00
ɾ,0-0-10-4,ã,e,esperanza,2.65,2.69,habitanteysuesperanza_01_neruda_128kb_00
ã,0-0-10-5,n,ɾ,esperanza,2.69,2.78,habitanteysuesperanza_01_neruda_128kb_00
n,0-0-10-6,s,ã,esperanza,2.78,2.83,habitanteysuesperanza_01_neruda_128kb_00
s,0-0-10-7,a,n,esperanza,2.83,2.95,habitanteysuesperanza_01_neruda_128kb_00
a,0-0-10-8,#,s,esperanza,2.95,3.22,habitanteysuesperanza_01_neruda_128kb_00
,0-0-11-0,#,#,,3.22,3.27,habitanteysuesperanza_01_neruda_128kb_00
d̪,0-0-12-0,e,#,de,3.27,3.35,habitanteysuesperanza_01_neruda_128kb_00
e,0-0-12-1,#,d̪,de,3.35,3.4,habitanteysuesperanza_01_neruda_128kb_00
p,0-0-13-0,a,#,pablo,3.4,3.49,habitanteysuesperanza_01_neruda_128kb_00
a,0-0-13-1,β,p,pablo,3.49,3.57,habitanteysuesperanza_01_neruda_128kb_00
β,0-0-13-2,l,a,pablo,3.57,3.62,habitanteysuesperanza_01_neruda_128kb_00
l,0-0-13-3,o,β,pablo,3.62,3.69,habitanteysuesperanza_01_neruda_128kb_00
o,0-0-13-4,#,l,pablo,3.69,3.76,habitanteysuesperanza_01_neruda_128kb_00
n,0-0-14-0,e,#,neruda,3.76,3.83,habitanteysuesperanza_01_neruda_128kb_00
e,0-0-14-1,ɾ,n,neruda,3.83,3.91,habitanteysuesperanza_01_neruda_128kb_00
ɾ,0-0-14-2,u,e,neruda,3.91,3.95,habitanteysuesperanza_01_neruda_128kb_00
u,0-0-14-3,ð,ɾ,neruda,3.95,4.09,habitanteysuesperanza_01_neruda_128kb_00
ð,0-0-14-4,a,u,neruda,4.09,4.1,habitanteysuesperanza_01_neruda_128kb_00
a,0-0-14-5,#,ð,neruda,4.1,4.29,habitanteysuesperanza_01_neruda_128kb_00
,0-0-15-0,#,#,,4.29,4.32,habitanteysuesperanza_01_neruda_128kb_00
e,0-0-0-0,s,#,esta,0.0,0.08,habitanteysuesperanza_01_neruda_128kb_01
s,0-0-0-1,t̪,e,esta,0.08,0.15,habitanteysuesperanza_01_neruda_128kb_01
t̪,0-0-0-2,a,s,esta,0.15,0.2,habitanteysuesperanza_01_neruda_128kb_01
a,0-0-0-3,#,t̪,esta,0.2,0.24,habitanteysuesperanza_01_neruda_128kb_01
ɡ,0-0-1-0,ɾ,#,grabación,0.24,0.29,habitanteysuesperanza_01_neruda_128kb_01
ɾ,0-0-1-1,a,ɡ,grabación,0.29,0.33,habitanteysuesperanza_01_neruda_128kb_01
a,0-0-1-2,β,ɾ,grabación,0.33,0.39,habitanteysuesperanza_01_neruda_128kb_01
β,0-0-1-3,a,a,grabación,0.39,0.44,habitanteysuesperanza_01_neruda_128kb_01
a,0-0-1-4,s,β,grabación,0.44,0.49,habitanteysuesperanza_01_neruda_128kb_01
s,0-0-1-5,j,a,grabación,0.49,0.6,habitanteysuesperanza_01_neruda_128kb_01
j,0-0-1-6,õ,s,grabación,0.6,0.63,habitanteysuesperanza_01_neruda_128kb_01
õ,0-0-1-7,n,j,grabación,0.63,0.66,habitanteysuesperanza_01_neruda_128kb_01
n,0-0-1-8,#,õ,grabación,0.66,0.71,habitanteysuesperanza_01_neruda_128kb_01
d̪,0-0-2-0,e,#,de,0.71,0.75,habitanteysuesperanza_01_neruda_128kb_01
e,0-0-2-1,#,d̪,de,0.75,0.93,habitanteysuesperanza_01_neruda_128kb_01
spn,0-0-3-0,#,#,libribox,0.93,1.35,habitanteysuesperanza_01_neruda_128kb_01
e,0-0-4-0,s,#,está,1.35,1.4,habitanteysuesperanza_01_neruda_128kb_01
s,0-0-4-1,t̪,e,está,1.4,1.44,habitanteysuesperanza_01_neruda_128kb_01
t̪,0-0-4-2,a,s,está,1.44,1.48,habitanteysuesperanza_01_neruda_128kb_01
a,0-0-4-3,#,t̪,está,1.48,1.51,habitanteysuesperanza_01_neruda_128kb_01
ẽ,0-0-5-0,n,#,en,1.51,1.54,habitanteysuesperanza_01_neruda_128kb_01
n,0-0-5-1,#,ẽ,en,1.54,1.58,habitanteysuesperanza_01_neruda_128kb_01
e,0-0-6-0,l,#,el,1.58,1.64,habitanteysuesperanza_01_neruda_128kb_01
l,0-0-6-1,#,e,el,1.64,1.69,habitanteysuesperanza_01_neruda_128kb_01
d̪,0-0-7-0,o,#,dominio,1.69,1.73,habitanteysuesperanza_01_neruda_128kb_01
o,0-0-7-1,m,d̪,dominio,1.73,1.76,habitanteysuesperanza_01_neruda_128kb_01
m,0-0-7-2,i,o,dominio,1.76,1.83,habitanteysuesperanza_01_neruda_128kb_01
i,0-0-7-3,ɲ,m,dominio,1.83,1.88,habitanteysuesperanza_01_neruda_128kb_01
ɲ,0-0-7-4,j,i,dominio,1.88,1.93,habitanteysuesperanza_01_neruda_128kb_01
j,0-0-7-5,o,ɲ,dominio,1.93,1.97,habitanteysuesperanza_01_neruda_128kb_01
o,0-0-7-6,#,j,dominio,1.97,2.05,habitanteysuesperanza_01_neruda_128kb_01
p,0-0-8-0,u,#,público,2.05,2.1,habitanteysuesperanza_01_neruda_128kb_01
u,0-0-8-1,β,p,público,2.1,2.2,habitanteysuesperanza_01_neruda_128kb_01
β,0-0-8-2,ʎ,u,público,2.2,2.21,habitanteysuesperanza_01_neruda_128kb_01
ʎ,0-0-8-3,i,β,público,2.21,2.27,habitanteysuesperanza_01_neruda_128kb_01
i,0-0-8-4,k,ʎ,público,2.27,2.33,habitanteysuesperanza_01_neruda_128kb_01
k,0-0-8-5,o,i,público,2.33,2.4,habitanteysuesperanza_01_neruda_128kb_01
o,0-0-8-6,#,k,público,2.4,2.57,habitanteysuesperanza_01_neruda_128kb_01
,0-0-9-0,#,#,,2.57,2.598753,habitanteysuesperanza_01_neruda_128kb_01
,0-0-0-0,#,#,,0.0,0.03,habitanteysuesperanza_01_neruda_128kb_02
l,0-0-1-0,e,#,leído,0.03,0.08,habitanteysuesperanza_01_neruda_128kb_02
e,0-0-1-1,i,l,leído,0.08,0.11,habitanteysuesperanza_01_neruda_128kb_02
i,0-0-1-2,ð,e,leído,0.11,0.24,habitanteysuesperanza_01_neruda_128kb_02
ð,0-0-1-3,o,i,leído,0.24,0.27,habitanteysuesperanza_01_neruda_128kb_02
o,0-0-1-4,#,ð,leído,0.27,0.4,habitanteysuesperanza_01_neruda_128kb_02
p,0-0-2-0,o,#,por,0.4,0.44,habitanteysuesperanza_01_neruda_128kb_02
o,0-0-2-1,r,p,por,0.44,0.47,habitanteysuesperanza_01_neruda_128kb_02
r,0-0-2-2,#,o,por,0.47,0.54,habitanteysuesperanza_01_neruda_128kb_02
m,0-0-3-0,a,#,mario,0.54,0.61,habitanteysuesperanza_01_neruda_128kb_02
a,0-0-3-1,ɾ,m,mario,0.61,0.68,habitanteysuesperanza_01_neruda_128kb_02
ɾ,0-0-3-2,j,a,mario,0.68,0.72,habitanteysuesperanza_01_neruda_128kb_02
j,0-0-3-3,o,ɾ,mario,0.72,0.78,habitanteysuesperanza_01_neruda_128kb_02
o,0-0-3-4,#,j,mario,0.78,0.87,habitanteysuesperanza_01_neruda_128kb_02
p,0-0-4-0,i,#,pineda,0.87,0.92,habitanteysuesperanza_01_neruda_128kb_02
i,0-0-4-1,n,p,pineda,0.92,0.96,habitanteysuesperanza_01_neruda_128kb_02
n,0-0-4-2,e,i,pineda,0.96,1.02,habitanteysuesperanza_01_neruda_128kb_02
e,0-0-4-3,ð,n,pineda,1.02,1.16,habitanteysuesperanza_01_neruda_128kb_02
ð,0-0-4-4,a,e,pineda,1.16,1.17,habitanteysuesperanza_01_neruda_128kb_02
a,0-0-4-5,#,ð,pineda,1.17,1.35,habitanteysuesperanza_01_neruda_128kb_02
,0-0-5-0,#,#,,1.35,1.383741,habitanteysuesperanza_01_neruda_128kb_02
spn,0-0-0-0,#,#,capitolo,0.0,0.86,habitanteysuesperanza_01_neruda_128kb_03
w,0-0-1-0,a,#,one,0.86,0.89,habitanteysuesperanza_01_neruda_128kb_03
a,0-0-1-1,n,w,one,0.89,0.92,habitanteysuesperanza_01_neruda_128kb_03
n,0-0-1-2,#,a,one,0.92,1.063129,habitanteysuesperanza_01_neruda_128kb_03
,0-0-0-0,#,#,,0.0,0.03,habitanteysuesperanza_01_neruda_128kb_04
a,0-0-1-0,o,#,ahora,0.03,0.09,habitanteysuesperanza_01_neruda_128kb_04
o,0-0-1-1,ɾ,a,ahora,0.09,0.22,habitanteysuesperanza_01_neruda_128kb_04
ɾ,0-0-1-2,a,o,ahora,0.22,0.27,habitanteysuesperanza_01_neruda_128kb_04
a,0-0-1-3,#,ɾ,ahora,0.27,0.33,habitanteysuesperanza_01_neruda_128kb_04
b,0-0-2-0,j,#,bien,0.33,0.41,habitanteysuesperanza_01_neruda_128kb_04
j,0-0-2-1,ẽ,b,bien,0.41,0.49,habitanteysuesperanza_01_neruda_128kb_04
ẽ,0-0-2-2,n,j,bien,0.49,0.57,habitanteysuesperanza_01_neruda_128kb_04
n,0-0-2-3,#,ẽ,bien,0.57,0.75,habitanteysuesperanza_01_neruda_128kb_04
,0-0-3-0,#,#,,0.75,0.92,habitanteysuesperanza_01_neruda_128kb_04
m,0-0-4-0,i,#,mi,0.92,0.99,habitanteysuesperanza_01_neruda_128kb_04
i,0-0-4-1,#,m,mi,0.99,1.05,habitanteysuesperanza_01_neruda_128kb_04
k,0-0-5-0,a,#,casa,1.05,1.15,habitanteysuesperanza_01_neruda_128kb_04
a,0-0-5-1,s,k,casa,1.15,1.25,habitanteysuesperanza_01_neruda_128kb_04
s,0-0-5-2,a,a,casa,1.25,1.38,habitanteysuesperanza_01_neruda_128kb_04
a,0-0-5-3,#,s,casa,1.38,1.45,habitanteysuesperanza_01_neruda_128kb_04
e,0-0-6-0,s,#,es,1.45,1.52,habitanteysuesperanza_01_neruda_128kb_04
s,0-0-6-1,#,e,es,1.52,1.63,habitanteysuesperanza_01_neruda_128kb_04
l,0-0-7-0,a,#,la,1.63,1.67,habitanteysuesperanza_01_neruda_128kb_04
a,0-0-7-1,#,l,la,1.67,1.71,habitanteysuesperanza_01_neruda_128kb_04
u,0-0-8-0,l,#,última,1.71,1.83,habitanteysuesperanza_01_neruda_128kb_04
l,0-0-8-1,t̪,u,última,1.83,1.92,habitanteysuesperanza_01_neruda_128kb_04
t̪,0-0-8-2,i,l,última,1.92,1.97,habitanteysuesperanza_01_neruda_128kb_04
i,0-0-8-3,m,t̪,última,1.97,2.01,habitanteysuesperanza_01_neruda_128kb_04
m,0-0-8-4,a,i,última,2.01,2.08,habitanteysuesperanza_01_neruda_128kb_04
a,0-0-8-5,#,m,última,2.08,2.17,habitanteysuesperanza_01_neruda_128kb_04
d̪,0-0-9-0,e,#,de,2.17,2.23,habitanteysuesperanza_01_neruda_128kb_04
e,0-0-9-1,#,d̪,de,2.23,2.31,habitanteysuesperanza_01_neruda_128kb_04
spn,0-0-10-0,#,#,cantalavo,2.31,3.1,habitanteysuesperanza_01_neruda_128kb_04
ɟʝ,0-0-11-0,e,#,y,3.1,3.18,habitanteysuesperanza_01_neruda_128kb_04
e,0-0-11-1,#,ɟʝ,y,3.18,3.27,habitanteysuesperanza_01_neruda_128kb_04
e,0-0-12-0,s,#,esta,3.27,3.32,habitanteysuesperanza_01_neruda_128kb_04
s,0-0-12-1,t̪,e,esta,3.32,3.4,habitanteysuesperanza_01_neruda_128kb_04
t̪,0-0-12-2,a,s,esta,3.4,3.45,habitanteysuesperanza_01_neruda_128kb_04
a,0-0-12-3,#,t̪,esta,3.45,3.52,habitanteysuesperanza_01_neruda_128kb_04
f,0-0-13-0,ɾ,#,frente,3.52,3.63,habitanteysuesperanza_01_neruda_128kb_04
ɾ,0-0-13-1,ẽ,f,frente,3.63,3.68,habitanteysuesperanza_01_neruda_128kb_04
ẽ,0-0-13-2,n,ɾ,frente,3.68,3.74,habitanteysuesperanza_01_neruda_128kb_04
n,0-0-13-3,t̪,ẽ,frente,3.74,3.84,habitanteysuesperanza_01_neruda_128kb_04
t̪,0-0-13-4,e,n,frente,3.84,3.9,habitanteysuesperanza_01_neruda_128kb_04
e,0-0-13-5,#,t̪,frente,3.9,3.93,habitanteysuesperanza_01_neruda_128kb_04
a,0-0-14-0,l,#,al,3.93,3.97,habitanteysuesperanza_01_neruda_128kb_04
l,0-0-14-1,#,a,al,3.97,4.01,habitanteysuesperanza_01_neruda_128kb_04
m,0-0-15-0,a,#,mar,4.01,4.1,habitanteysuesperanza_01_neruda_128kb_04
a,0-0-15-1,r,m,mar,4.1,4.2,habitanteysuesperanza_01_neruda_128kb_04
r,0-0-15-2,#,a,mar,4.2,4.23,habitanteysuesperanza_01_neruda_128kb_04
spn,0-0-16-0,#,#,estrecitoso,4.23,5.3,habitanteysuesperanza_01_neruda_128kb_04
spn,0-0-17-0,#,#,encajó,5.3,5.72,habitanteysuesperanza_01_neruda_128kb_04
n,0-0-18-0,a,#,nada,5.72,5.77,habitanteysuesperanza_01_neruda_128kb_04
a,0-0-18-1,ð,n,nada,5.77,5.86,habitanteysuesperanza_01_neruda_128kb_04
ð,0-0-18-2,a,a,nada,5.86,5.91,habitanteysuesperanza_01_neruda_128kb_04
a,0-0-18-3,#,ð,nada,5.91,5.99,habitanteysuesperanza_01_neruda_128kb_04
k,0-0-19-0,õ,#,contra,5.99,6.06,habitanteysuesperanza_01_neruda_128kb_04
õ,0-0-19-1,n,k,contra,6.06,6.11,habitanteysuesperanza_01_neruda_128kb_04
n,0-0-19-2,t̪,õ,contra,6.11,6.15,habitanteysuesperanza_01_neruda_128kb_04
t̪,0-0-19-3,ɾ,n,contra,6.15,6.2,habitanteysuesperanza_01_neruda_128kb_04
ɾ,0-0-19-4,a,t̪,contra,6.2,6.25,habitanteysuesperanza_01_neruda_128kb_04
a,0-0-19-5,#,ɾ,contra,6.25,6.28,habitanteysuesperanza_01_neruda_128kb_04
l,0-0-20-0,o,#,los,6.28,6.34,habitanteysuesperanza_01_neruda_128kb_04
o,0-0-20-1,s,l,los,6.34,6.39,habitanteysuesperanza_01_neruda_128kb_04
s,0-0-20-2,#,o,los,6.39,6.44,habitanteysuesperanza_01_neruda_128kb_04
s,0-0-21-0,e,#,cerros,6.44,6.5,habitanteysuesperanza_01_neruda_128kb_04
e,0-0-21-1,r,s,cerros,6.5,6.58,habitanteysuesperanza_01_neruda_128kb_04
r,0-0-21-2,o,e,cerros,6.58,6.68,habitanteysuesperanza_01_neruda_128kb_04
o,0-0-21-3,s,r,cerros,6.68,6.77,habitanteysuesperanza_01_neruda_128kb_04
s,0-0-21-4,#,o,cerros,6.77,6.96,habitanteysuesperanza_01_neruda_128kb_04
,0-0-22-0,#,#,,6.96,6.986259,habitanteysuesperanza_01_neruda_128kb_04
,0-0-0-0,#,#,,0.0,0.03,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-1-0,l,#,el,0.03,0.08,habitanteysuesperanza_01_neruda_128kb_05
l,0-0-1-1,#,e,el,0.08,0.14,habitanteysuesperanza_01_neruda_128kb_05
b,0-0-2-0,e,#,verano,0.14,0.2,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-2-1,ɾ,b,verano,0.2,0.25,habitanteysuesperanza_01_neruda_128kb_05
ɾ,0-0-2-2,a,e,verano,0.25,0.28,habitanteysuesperanza_01_neruda_128kb_05
a,0-0-2-3,n,ɾ,verano,0.28,0.37,habitanteysuesperanza_01_neruda_128kb_05
n,0-0-2-4,o,a,verano,0.37,0.45,habitanteysuesperanza_01_neruda_128kb_05
o,0-0-2-5,#,n,verano,0.45,0.55,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-3-0,s,#,es,0.55,0.63,habitanteysuesperanza_01_neruda_128kb_05
s,0-0-3-1,#,e,es,0.63,0.7,habitanteysuesperanza_01_neruda_128kb_05
d̪,0-0-4-0,u,#,dulce,0.7,0.75,habitanteysuesperanza_01_neruda_128kb_05
u,0-0-4-1,l,d̪,dulce,0.75,0.83,habitanteysuesperanza_01_neruda_128kb_05
l,0-0-4-2,s,u,dulce,0.83,0.9,habitanteysuesperanza_01_neruda_128kb_05
s,0-0-4-3,e,l,dulce,0.9,1.02,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-4-4,#,s,dulce,1.02,1.14,habitanteysuesperanza_01_neruda_128kb_05
,0-0-5-0,#,#,,1.14,1.36,habitanteysuesperanza_01_neruda_128kb_05
a,0-0-6-0,l,#,al,1.36,1.42,habitanteysuesperanza_01_neruda_128kb_05
l,0-0-6-1,#,a,al,1.42,1.45,habitanteysuesperanza_01_neruda_128kb_05
spn,0-0-7-0,#,#,detargado,1.45,2.21,habitanteysuesperanza_01_neruda_128kb_05
,0-0-8-0,#,#,,2.21,2.43,habitanteysuesperanza_01_neruda_128kb_05
p,0-0-9-0,e,#,pero,2.43,2.49,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-9-1,ɾ,p,pero,2.49,2.52,habitanteysuesperanza_01_neruda_128kb_05
ɾ,0-0-9-2,o,e,pero,2.52,2.57,habitanteysuesperanza_01_neruda_128kb_05
o,0-0-9-3,#,ɾ,pero,2.57,2.6,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-10-0,l,#,el,2.6,2.63,habitanteysuesperanza_01_neruda_128kb_05
l,0-0-10-1,#,e,el,2.63,2.67,habitanteysuesperanza_01_neruda_128kb_05
ĩ,0-0-11-0,m,#,invierno,2.67,2.72,habitanteysuesperanza_01_neruda_128kb_05
m,0-0-11-1,b,ĩ,invierno,2.72,2.77,habitanteysuesperanza_01_neruda_128kb_05
b,0-0-11-2,j,m,invierno,2.77,2.81,habitanteysuesperanza_01_neruda_128kb_05
j,0-0-11-3,e,b,invierno,2.81,2.86,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-11-4,r,j,invierno,2.86,2.92,habitanteysuesperanza_01_neruda_128kb_05
r,0-0-11-5,n,e,invierno,2.92,2.99,habitanteysuesperanza_01_neruda_128kb_05
n,0-0-11-6,o,r,invierno,2.99,3.04,habitanteysuesperanza_01_neruda_128kb_05
o,0-0-11-7,#,n,invierno,3.04,3.09,habitanteysuesperanza_01_neruda_128kb_05
s,0-0-12-0,u,#,surge,3.09,3.22,habitanteysuesperanza_01_neruda_128kb_05
u,0-0-12-1,r,s,surge,3.22,3.27,habitanteysuesperanza_01_neruda_128kb_05
r,0-0-12-2,ç,u,surge,3.27,3.34,habitanteysuesperanza_01_neruda_128kb_05
ç,0-0-12-3,e,r,surge,3.34,3.41,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-12-4,#,ç,surge,3.41,3.45,habitanteysuesperanza_01_neruda_128kb_05
d̪,0-0-13-0,e,#,de,3.45,3.52,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-13-1,#,d̪,de,3.52,3.55,habitanteysuesperanza_01_neruda_128kb_05
r,0-0-14-0,e,#,repente,3.55,3.64,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-14-1,p,r,repente,3.64,3.68,habitanteysuesperanza_01_neruda_128kb_05
p,0-0-14-2,ẽ,e,repente,3.68,3.77,habitanteysuesperanza_01_neruda_128kb_05
ẽ,0-0-14-3,n,p,repente,3.77,3.84,habitanteysuesperanza_01_neruda_128kb_05
n,0-0-14-4,t̪,ẽ,repente,3.84,3.9,habitanteysuesperanza_01_neruda_128kb_05
t̪,0-0-14-5,e,n,repente,3.9,3.97,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-14-6,#,t̪,repente,3.97,4.03,habitanteysuesperanza_01_neruda_128kb_05
d̪,0-0-15-0,e,#,del,4.03,4.09,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-15-1,l,d̪,del,4.09,4.14,habitanteysuesperanza_01_neruda_128kb_05
l,0-0-15-2,#,e,del,4.14,4.18,habitanteysuesperanza_01_neruda_128kb_05
m,0-0-16-0,a,#,mar,4.18,4.26,habitanteysuesperanza_01_neruda_128kb_05
a,0-0-16-1,r,m,mar,4.26,4.36,habitanteysuesperanza_01_neruda_128kb_05
r,0-0-16-2,#,a,mar,4.36,4.48,habitanteysuesperanza_01_neruda_128kb_05
k,0-0-17-0,o,#,como,4.48,4.53,habitanteysuesperanza_01_neruda_128kb_05
o,0-0-17-1,m,k,como,4.53,4.56,habitanteysuesperanza_01_neruda_128kb_05
m,0-0-17-2,o,o,como,4.56,4.64,habitanteysuesperanza_01_neruda_128kb_05
o,0-0-17-3,#,m,como,4.64,4.67,habitanteysuesperanza_01_neruda_128kb_05
u,0-0-18-0,n,#,una,4.67,4.75,habitanteysuesperanza_01_neruda_128kb_05
n,0-0-18-1,a,u,una,4.75,4.83,habitanteysuesperanza_01_neruda_128kb_05
a,0-0-18-2,#,n,una,4.83,4.88,habitanteysuesperanza_01_neruda_128kb_05
r,0-0-19-0,e,#,red,4.88,5.01,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-19-1,ð,r,red,5.01,5.23,habitanteysuesperanza_01_neruda_128kb_05
ð,0-0-19-2,#,e,red,5.23,5.24,habitanteysuesperanza_01_neruda_128kb_05
d̪,0-0-20-0,e,#,de,5.24,5.29,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-20-1,#,d̪,de,5.29,5.34,habitanteysuesperanza_01_neruda_128kb_05
s,0-0-21-0,i,#,siniestros,5.34,5.46,habitanteysuesperanza_01_neruda_128kb_05
i,0-0-21-1,ɲ,s,siniestros,5.46,5.5,habitanteysuesperanza_01_neruda_128kb_05
ɲ,0-0-21-2,j,i,siniestros,5.5,5.56,habitanteysuesperanza_01_neruda_128kb_05
j,0-0-21-3,e,ɲ,siniestros,5.56,5.59,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-21-4,s,j,siniestros,5.59,5.67,habitanteysuesperanza_01_neruda_128kb_05
s,0-0-21-5,t̪,e,siniestros,5.67,5.74,habitanteysuesperanza_01_neruda_128kb_05
t̪,0-0-21-6,ɾ,s,siniestros,5.74,5.79,habitanteysuesperanza_01_neruda_128kb_05
ɾ,0-0-21-7,o,t̪,siniestros,5.79,5.84,habitanteysuesperanza_01_neruda_128kb_05
o,0-0-21-8,s,ɾ,siniestros,5.84,5.87,habitanteysuesperanza_01_neruda_128kb_05
s,0-0-21-9,#,o,siniestros,5.87,5.95,habitanteysuesperanza_01_neruda_128kb_05
p,0-0-22-0,e,#,pescados,5.95,6.01,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-22-1,s,p,pescados,6.01,6.05,habitanteysuesperanza_01_neruda_128kb_05
s,0-0-22-2,k,e,pescados,6.05,6.12,habitanteysuesperanza_01_neruda_128kb_05
k,0-0-22-3,a,s,pescados,6.12,6.19,habitanteysuesperanza_01_neruda_128kb_05
a,0-0-22-4,ð,k,pescados,6.19,6.23,habitanteysuesperanza_01_neruda_128kb_05
ð,0-0-22-5,o,a,pescados,6.23,6.33,habitanteysuesperanza_01_neruda_128kb_05
o,0-0-22-6,s,ð,pescados,6.33,6.45,habitanteysuesperanza_01_neruda_128kb_05
s,0-0-22-7,#,o,pescados,6.45,6.67,habitanteysuesperanza_01_neruda_128kb_05
,0-0-23-0,#,#,,6.67,6.94,habitanteysuesperanza_01_neruda_128kb_05
c,0-0-24-0,e,#,que,6.94,6.98,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-24-1,#,c,que,6.98,7.02,habitanteysuesperanza_01_neruda_128kb_05
s,0-0-25-0,e,#,se,7.02,7.11,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-25-1,#,s,se,7.11,7.16,habitanteysuesperanza_01_neruda_128kb_05
p,0-0-26-0,e,#,pega,7.16,7.24,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-26-1,ɣ,p,pega,7.24,7.33,habitanteysuesperanza_01_neruda_128kb_05
ɣ,0-0-26-2,a,e,pega,7.33,7.38,habitanteysuesperanza_01_neruda_128kb_05
a,0-0-26-3,#,ɣ,pega,7.38,7.42,habitanteysuesperanza_01_neruda_128kb_05
a,0-0-27-0,l,#,al,7.42,7.45,habitanteysuesperanza_01_neruda_128kb_05
l,0-0-27-1,#,a,al,7.45,7.63,habitanteysuesperanza_01_neruda_128kb_05
s,0-0-28-0,j,#,cielo,7.63,7.76,habitanteysuesperanza_01_neruda_128kb_05
j,0-0-28-1,e,s,cielo,7.76,7.79,habitanteysuesperanza_01_neruda_128kb_05
e,0-0-28-2,l,j,cielo,7.79,7.88,habitanteysuesperanza_01_neruda_128kb_05
